"block","fam","par","n","G","skew","EF","HL"
"size","null",NA,100,5,FALSE,0.051,0.0526
"size","null",NA,100,5,TRUE,0.0556,0.0552
"size","null",NA,500,5,FALSE,0.0462,0.0452
"size","null",NA,500,5,TRUE,0.0504,0.0504
"size","null",NA,1000,5,FALSE,0.045,0.0446
"size","null",NA,1000,5,TRUE,0.0486,0.049
"size","null",NA,5000,5,FALSE,0.0464,0.0468
"size","null",NA,5000,5,TRUE,0.053,0.0528
"size","null",NA,100,10,FALSE,0.0452,0.0474
"size","null",NA,100,10,TRUE,0.0374,0.0392
"size","null",NA,500,10,FALSE,0.0502,0.0502
"size","null",NA,500,10,TRUE,0.0512,0.0518
"size","null",NA,1000,10,FALSE,0.0452,0.0454
"size","null",NA,1000,10,TRUE,0.047,0.0466
"size","null",NA,5000,10,FALSE,0.0482,0.0484
"size","null",NA,5000,10,TRUE,0.0454,0.0452
"size","null",NA,100,20,FALSE,0.0406,0.0406
"size","null",NA,100,20,TRUE,0.033,0.0396
"size","null",NA,500,20,FALSE,0.0486,0.0492
"size","null",NA,500,20,TRUE,0.0464,0.0464
"size","null",NA,1000,20,FALSE,0.044,0.0446
"size","null",NA,1000,20,TRUE,0.0484,0.0476
"size","null",NA,5000,20,FALSE,0.0428,0.043
"size","null",NA,5000,20,TRUE,0.05,0.0508
"power","quad",0.01,500,10,FALSE,0.0572,0.0748
"power","quad",0.01,1000,10,FALSE,0.0638,0.0798
"power","quad",0.01,2000,10,FALSE,0.088,0.1058
"power","quad",0.02,500,10,FALSE,0.1672,0.2522
"power","quad",0.02,1000,10,FALSE,0.3136,0.4058
"power","quad",0.02,2000,10,FALSE,0.6094,0.69
"power","quad",0.03,500,10,FALSE,0.333,0.4818
"power","quad",0.03,1000,10,FALSE,0.6536,0.7512
"power","quad",0.03,2000,10,FALSE,0.9368,0.9636
"power","quad",0.05,500,10,FALSE,0.64,0.7852
"power","quad",0.05,1000,10,FALSE,0.9432,0.9736
"power","quad",0.05,2000,10,FALSE,0.9996,0.9998
"power","quad",0.1,500,10,FALSE,0.9516,0.9852
"power","quad",0.1,1000,10,FALSE,0.9996,1
"power","quad",0.1,2000,10,FALSE,1,1
"power","int",0.1,500,10,FALSE,0.0496,0.05
"power","int",0.1,1000,10,FALSE,0.0582,0.0586
"power","int",0.1,2000,10,FALSE,0.084,0.0852
"power","int",0.3,500,10,FALSE,0.1216,0.1314
"power","int",0.3,1000,10,FALSE,0.25,0.2596
"power","int",0.3,2000,10,FALSE,0.5184,0.53
"power","int",0.5,500,10,FALSE,0.3638,0.4008
"power","int",0.5,1000,10,FALSE,0.696,0.719
"power","int",0.5,2000,10,FALSE,0.9698,0.9732
"power","int",0.7,500,10,FALSE,0.7946,0.8384
"power","int",0.7,1000,10,FALSE,0.9912,0.9928
"power","int",0.7,2000,10,FALSE,1,1
"power","ao",0.9,500,10,FALSE,0.0524,0.0526
"power","ao",0.9,1000,10,FALSE,0.0474,0.0464
"power","ao",0.9,2000,10,FALSE,0.046,0.046
"power","ao",0.9,5000,10,FALSE,0.0518,0.0518
"power","ao",0.7,500,10,FALSE,0.048,0.0472
"power","ao",0.7,1000,10,FALSE,0.0476,0.0474
"power","ao",0.7,2000,10,FALSE,0.0616,0.0594
"power","ao",0.7,5000,10,FALSE,0.0974,0.095
"power","ao",0.5,500,10,FALSE,0.0648,0.0622
"power","ao",0.5,1000,10,FALSE,0.0812,0.077
"power","ao",0.5,2000,10,FALSE,0.113,0.1086
"power","ao",0.5,5000,10,FALSE,0.263,0.254
"power","ao",0.35,500,10,FALSE,0.078,0.0668
"power","ao",0.35,1000,10,FALSE,0.1224,0.109
"power","ao",0.35,2000,10,FALSE,0.229,0.2104
"power","ao",0.35,5000,10,FALSE,0.6068,0.5914
"power","ao",0.2,500,10,FALSE,0.1114,0.0896
"power","ao",0.2,1000,10,FALSE,0.2298,0.196
"power","ao",0.2,2000,10,FALSE,0.4726,0.438
"power","ao",0.2,5000,10,FALSE,0.939,0.9316
"power","ao",0.1,500,10,FALSE,0.1526,0.114
"power","ao",0.1,1000,10,FALSE,0.3342,0.2758
"power","ao",0.1,2000,10,FALSE,0.72,0.6668
"power","ao",0.1,5000,10,FALSE,0.9952,0.9934
