"g","pbar","ng","o","e","cg","meancg"
1,0.174393170245189,100,24,17.4393170245189,0.296735703545319,0.191454650136707
2,0.315974538318906,100,32,31.5974538318906,0.00685487046862852,0.0439067234986935
3,0.434078880836966,100,48,43.4078880836966,0.0246457746648446,-0.00529864041847896
4,0.547596135220422,100,42,54.7596135220422,0.0490289423568125,0.0130761658580428
5,0.661016817332635,100,60,66.1016817332635,0.087692029839297,0.0665776693797284
6,0.775738345251032,100,78,77.5738345251032,-0.0135093714169682,0.0999506956211073
7,0.850042689550234,100,86,85.0042689550234,-0.0546870726061182,0.0279625263795096
8,0.903662234699688,100,91,90.3662234699688,-0.0587735018052245,-0.15827162380772
9,0.939125118312386,100,97,93.9125118312386,-0.474309682976515,-0.448542150998831
10,0.96837207023247,100,99,96.837207023247,-0.661489439236607,-0.727903975549822
